Law-Name,Category,Chapter,Article-Category,Article-Number,Article-Description,Punishment,,,,
ITEGEKO RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,Ingingo ya 14: Gusambanya umwana,,ITEGEKO Nº 059/2023 RYO KU WA 04/12/2023 RIHINDURA ITEGEKO Nº 68/2018 RYO KU WA 30/08/2031 RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,"Ingingo ya 133 y’Itegeko nº 68/2018 ryo ku wa 30/08/2018 riteganya ibyaha n’ibihano muri rusange ihinduwe ku buryo bukurikira: (1) « Umuntu ukorera ku mwana kimwe mu bikorwa bishingiye ku gitsina bikurikira, aba akoze icyaha: (a) gushyira igitsina cy’umuntu mu gitsina, mu kibuno cyangwa mu kanwa by’umwana; (b) gushyira urugingo urwo ari rwo rwose rw’umubiri w’umuntu mu
gitsina cyangwa mu kibuno
cy’umwana;

(c) gukora ikindi gikorwa cyose ku
mubiri w’umwana hagamijwe
ishimishamubiri.

(2) Umuntu uhamijwe n’urukiko gukora
kimwe mu bikorwa bivugwa mu gika
cya (1) cy’iyi ngingo ahanishwa
igifungo kitari munsi y’imyaka 20
ariko kitarenze imyaka 25.


(3) Iyo gusambanya umwana byakorewe
ku mwana uri munsi y’imyaka 14
igihano kiba igifungo cya burundu.


(4) Iyo gusambanya umwana byakorewe
ku mwana ufite cyangwa urengeje
imyaka 14 byamuteye indwara
idakira cyangwa ubumuga, igihano
kiba igifungo cya burundu.

(5) Iyo umuntu mukuru asambanyije
umwana bigakurikirwa no kumugira
umugabo cyangwa umugore, igihano
kiba igifungo cya burundu. (6) Iyo umwana ufite imyaka 14 ariko
atarageza ku myaka 18 asambanyije
umwana ufite imyaka 14 ariko
utarageza ku myaka 18 akoresheje
kiboko, ibikangisho, uburiganya
cyangwa abikoze ku bw’intege nke
z’uwakorewe icyaha, cyangwa
yamuhaye ibintu bimuca intege,
ahanwa hakurikijwe ibiteganywa mu
ngingo ya 54 y’iri tegeko.


(7) Icyaha cyo gusambanya umwana
ntigisaza. » ",,,,
ITEGEKO RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,Ingingo ya 15: Kurega undi mu nzego z’ubutabera umubeshyera,,ITEGEKO Nº 059/2023 RYO KU WA 04/12/2023 RIHINDURA ITEGEKO Nº 68/2018 RYO KU WA 30/08/2032 RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,"
Ingingo ya 152 y’Itegeko nº 68/2018 ryo ku
wa 30/08/2018 riteganya ibyaha n’ibihano
muri rusange ihinduwe ku buryo bukurikira:

« Umuntu urega undi mu nzego z’ubutabera
azi neza ko amubeshyera, aba akoze icyaha.
Iyo abihamijwe n’urukiko, ahanishwa
igifungo kitari munsi y’umwaka 1 ariko
kitarenze imyaka 3 n’ihazabu itari munsi ya
500.000 FRW ariko itarenze 1.000.000 FRW.
Iyo kurega undi umubeshyera byakozwe mu
rubanza rw’inshinjabyaha uregwa
yakatiwemo igifungo kirenga imyaka 5, umuntu wamureze azi neza ko amubeshyera
ahanishwa igifungo kitari munsi y’imyaka 3
ariko kitarenze imyaka 5 n’ihazabu itari
munsi ya 1.000.000 FRW ariko itarenze
2.000.000 FRW. » ",,,,
ITEGEKO RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,Ingingo ya 16: Kugumana ku bw’uburiganya ikintu cy’undi cyatowe,,ITEGEKO Nº 059/2023 RYO KU WA 04/12/2023 RIHINDURA ITEGEKO Nº 68/2018 RYO KU WA 30/08/2033 RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,"Ingingo ya 172 y’Itegeko nº 68/2018 ryo ku wa 30/08/2018 riteganya ibyaha n’ibihano muri rusange ihinduwe ku buryo bukurikira: « Ingingo ya 172: Kugumana ku bw’uburiganya ikintu cy’undi cyatowe (1) Umuntu utora ikintu cy’undi cyimukanwa cyangwa wakibonye ku buryo bumugwiririye, akakigumana ku bw’uburiganya cyangwa akagiha abatari bene cyo ku bw’uburiganya, aba akoze icyaha. Iyo abihamijwe n’urukiko, ahanishwa igifungo kitari munsi y’amezi 6 ariko kitarenze imyaka 2 n’ihazabu itari munsi ya 50.000 FRW ariko itarenze 300.000 FRW cyangwa kimwe gusa muri ibyo bihano. (2) Mu gihe ukurikiranyweho icyaha
asubije ikintu yatoye cyangwa
yabonye, ikurikirana ry’icyaha rihita
rihagarara aho urubanza rwaba
rugeze hose. »",,,,
ITEGEKO RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,"Ingingo ya 17: Kugurisha ikintu cy’undi, kugitangaho ingwate cyangwa kugurisha ikintu cyawe watanzeho ingwate",,ITEGEKO Nº 059/2023 RYO KU WA 04/12/2023 RIHINDURA ITEGEKO Nº 68/2018 RYO KU WA 30/08/2034 RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,"Ingingo ya 177 y’Itegeko nº 68/2018 ryo ku wa 30/08/2018 riteganya ibyaha n’ibihano muri rusange ihinduwe ku buryo bukurikira: « Ingingo ya 177: Kugurisha ikintu cy’undi, kugitangaho ingwate cyangwa kugurisha ikintu cyawe watanzeho ingwate Umuntu ugurisha, utanga ingwate ku kintu cyimukanwa cyangwa kitimukanwa azi ko atari icye cyangwa ugurisha ikintu cye azi ko yagitanzeho ingwate akabikora atabyemeranyijweho n’uwahawe ingwate n’ugiye kukigura mu nyandiko yashyizweho umukono na noteri, aba akoze icyaha. Iyo abihamijwe n’urukiko, ahanishwa igifungo kitari munsi y’umwaka 1 ariko kitarenze imyaka 2 n’ihazabu itari munsi ya 500.000 FRW ariko itarenze 1.000.000 FRW. »",,,,
ITEGEKO RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,Ingingo ya 18: Gusebya cyangwa gutuka umwe mu bavugwa mu ngingo ya 217,,ITEGEKO Nº 059/2023 RYO KU WA 04/12/2023 RIHINDURA ITEGEKO Nº 68/2018 RYO KU WA 30/08/2035 RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,Ingingo ya 218 y’Itegeko nº 68/2018 ryo ku wa 30/08/2018 riteganya ibyaha n’ibihano muri rusange ivanyweho.,,,,
ITEGEKO RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,Ingingo ya 19: Kunaniza cyangwa kuburizamo ishyirwa mu bikorwa ry‘inyandikompesha yabaye ndakuka,,ITEGEKO Nº 059/2023 RYO KU WA 04/12/2023 RIHINDURA ITEGEKO Nº 68/2018 RYO KU WA 30/08/2036 RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,"Itegeko nº 68/2018 ryo ku wa 30/08/2018 riteganya ibyaha n’ibihano muri rusange ryongewemo ingingo ya 262 bis iteye ku buryo bukurikira: « Ingingo ya 262 bis: Kunaniza cyangwa kuburizamo ishyirwa mu bikorwa ry‘inyandikompesha yabaye ndakuka Umuntu wikuraho umutungo cyangwa ukora ikindi gikorwa agamije kunaniza cyangwa kuburizamo ishyirwa mu bikorwa ry’inyandikompesha yabaye ndakuka, aba akoze icyaha. Iyo abihamijwe n’urukiko, ahanishwa igifungo kitari munsi y’amezi 6 ariko kitarenze imyaka 2.",,,,
ITEGEKO RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,"Ingingo ya 20: Guhimba impapuro zivunjwamo amafaranga, gukoresha cyangwa gukwirakwiza inyandiko zivunjwamo amafaranga z’impimbano",,ITEGEKO Nº 059/2023 RYO KU WA 04/12/2023 RIHINDURA ITEGEKO Nº 68/2018 RYO KU WA 30/08/2037 RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,"Ingingo ya 271 y’Itegeko nº 68/2018 ryo ku wa 30/08/2018 riteganya ibyaha n’ibihano muri rusange ihinduwe ku buryo bukurikira: « Ingingo ya 271: Guhimba impapuro zivunjwamo amafaranga, gukoresha cyangwa gukwirakwiza inyandiko zivunjwamo amafaranga z’impimbano Umuntu wese uhimba impapuro zivunjwamo amafaranga, ukoresha cyangwa ukwirakwiza mu buryo ubwo ari bwo bwose impapuro zivunjwamo amafaranga azi ko ari impimbano, aba akoze icyaha. Iyo abihamijwe n’urukiko, ahanishwa igifungo kitari munsi y’imyaka 3 ariko kitarenze imyaka 5 n’ihazabu yikubye inshuro kuva kuri 2 kugeza ku 10 z’agaciro k’impapuro zivunjwamo amafaranga yahimbye, yakoresheje cyangwa yakwirakwije.»",,,,
ITEGEKO RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,Ingingo ya 21: Kunyagwa amapeti ya gisirikare,,ITEGEKO Nº 059/2023 RYO KU WA 04/12/2023 RIHINDURA ITEGEKO Nº 68/2018 RYO KU WA 30/08/2038 RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,"Ingingo ya 291 y’Itegeko nº 68/2018 ryo ku wa 30/08/2018 riteganya ibyaha n’ibihano muri rusange ihinduwe ku buryo bukurikira: « Igihano cyo kunyagwa amapeti ya
gisirikare gihabwa umusirikare iyo –

(a) akoze icyaha cy’ubugambanyi;

(b) yeguriye umwanzi ikigo cyangwa
ahantu ashinzwe cyangwa
yatereranye abandi basirikare ku
rugamba;

(c) akoze ubugande cyangwa
ubwivumbure mu gihe cy’intambara;

(d) ahurujwe mu gihe cy’intambara
ntajye aho ahamagarirwa kuba ari;

(e) atorotse igisirikare;

(f) akoze icyaha cya jenoside;

(g) akoze icyaha cyibasiye inyokomuntu;

(h) akoze icyaha cyo gukoresha
imibonano mpuzabitsina ku gahato;

(i) akoze icyaha cyo gusambanya
umwana;

(j) akoze icyaha cyo kurya, kunywa,
kwitera, guhumeka, kwisiga
ibiyobyabwenge cyangwa urusobe
rw’imiti ikoreshwa nka byo, cyangwa icyo gukora, guhinga, guhindura,
gutunda, kubika, guha undi,
kugurisha ibiyobyabwenge cyangwa
urusobe rw’imiti ikoreshwa nka byo
mu buryo bunyuranije n’amategeko;
cyangwa

(k) akatiwe igihano k’igifungo kiri
hejuru y’imyaka 5. »",,,,
ITEGEKO RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,Ingingo ya 22: Ingingo y’ururimi,,ITEGEKO Nº 059/2023 RYO KU WA 04/12/2023 RIHINDURA ITEGEKO Nº 68/2018 RYO KU WA 30/08/2039 RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,"Iri tegeko ryateguwe, risuzumwa kandi ritorwa mu rurimi rw’Ikinyarwanda.",,,,
ITEGEKO RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,Ingingo ya 23: Gutangira gukurikizwa,,ITEGEKO Nº 059/2023 RYO KU WA 04/12/2023 RIHINDURA ITEGEKO Nº 68/2018 RYO KU WA 30/08/2040 RITEGANYA IBYAHA N’IBIHANO MURI RUSANGE,Iri tegeko ritangira gukurikizwa ku munsi ritangarijweho mu Igazeti ya Leta ya Repubulika y’u Rwanda.,,,,

Ubwoko,Category,Umutwe,Ibyiciro by'Ingingo,Itegeko,Description,Igihano
AMABWIRIZA YA KOMISERI MUKURU Nº 003/2020 YO KU WA 05/08/2020 AGENA IBISHINGIRWAHO MU GUSHYIRA UMUSORESHWA MU CYICIRO CY’ABASORESHWA BANINI,Amabwiriza,,,Ingingo ya mbere: Icyo aya mabwiriza agamije,Aya mabwiriza agena ibishingirwaho mu kwandika umusoreshwa mu basoreshwa banin,
AMABWIRIZA YA KOMISERI MUKURU Nº 003/2020 YO KU WA 05/08/2021 AGENA IBISHINGIRWAHO MU GUSHYIRA UMUSORESHWA MU CYICIRO CY’ABASORESHWA BANINI,Amabwiriza,,,Ingingo ya 2: Ibishingirwaho mu kwandikwa mu basoreshwa banini,"Umusoreshwa ashyirwa mu cyiciro cy’Abasoreshwa banini hashingiwe kuri kimwe muri ibi bikurikira : 1. kuba afite ibyacurujwe ku mwaka birengeje miliyari imwe y’amafaranga y’u Rwanda (1.000.000.000 FRW) ; 2. kuba yarishyuye umusoro ku nyungu cyangwa umusoro ku nyongeragaciro ungana cyangwa urenga miliyoni ijana y’amafaranga y’u Rwanda (100.000.000 FRW) buri mwaka mu bihe by’umusoro bitatu (3) bikurikirana ; 3. kuba yarishyuye umusoro ku bihembo ungana cyangwa urenga miliyoni magana abiri z’amafaranga y’u Rwanda (200.000.0000 frw) buri mwaka mu bihe by’umusoro bitatu (3) bikurikirana ; 4. Kuba yarishyuye imisoro ifatirwa ifite agaciro kangana cyangwa karenga miliyali imwe y’amafaranga y’u Rwanda (1.000.000.000 FRW) buri mwaka mu bihe by’umusoro bitatu (3) bikurikirana ;

5. kuba yaragize igihombo nibura
kingana na miliyoni magana atanu
z’amafaranga y’u Rwanda
(500.000.000 FRW) buri mwaka mu
bihe by’umusoro bitatu (3)
bikurikirana ;

6. Kuba afite umushinga mushya
w’ishoramari ufite agaciro kangana
cyangwa karenga miliyali eshanu
z’amafaranga y’u Rwanda
(5.000.000.000 FRW) ; cyangwa

7. Kuba akora ubucuruzi buri muri
kimwe mu byiciro by’ubukungu
bikurikira :
 - banki z’ubucuruzi ; - kompanyi z’ubwishingizi ; - kompanyi z’itumanaho ;",
AMABWIRIZA YA KOMISERI MUKURU Nº 003/2020 YO KU WA 05/08/2022 AGENA IBISHINGIRWAHO MU GUSHYIRA UMUSORESHWA MU CYICIRO CY’ABASORESHWA BANINI,Amabwiriza,,,Ingingo ya 3: Uburyo bwo kumenyesha umusoreshwa,Ubuyobozi bw’imisoro bumenyesha umusoreshwa mu nyandiko ko ari umusoreshwa munini.,
AMABWIRIZA YA KOMISERI MUKURU Nº 003/2020 YO KU WA 05/08/2023 AGENA IBISHINGIRWAHO MU GUSHYIRA UMUSORESHWA MU CYICIRO CY’ABASORESHWA BANINI,Amabwiriza,,,Ingingo ya 4: Ivanwaho ry’ingingo zinyuranyije n’aya mabwiriza,Ingingo zose z’amabwiriza abanziriza aya kandi anyuranyije na yo zivanyweho.,
AMABWIRIZA YA KOMISERI MUKURU Nº 003/2020 YO KU WA 05/08/2024 AGENA IBISHINGIRWAHO MU GUSHYIRA UMUSORESHWA MU CYICIRO CY’ABASORESHWA BANINI,Amabwiriza,,,Ingingo ya 5: Igihe aya mabwiriza atangira gukurikizwa,Aya mabwiriza atangira gukurikizwa ku munsi yatangarijweho mu Igazeti ya Leta ya Repubulika y’u Rwanda.,
ITEKA RYA PEREZIDA N° 075/01 RYO KU WA 04/12/2023 RISHYIRAHO AMAHORO YAKWA KURI SERIVISI NO KU BYEMEZO BITANGWA N’INZEGO Z’IMITEGEKERE Y’IGIHUGU ZEGEREJWE ABATURAGE,Iteka rya perezida,,,Itegeko,Description,Igihano
ITEKA RYA PEREZIDA N° 075/01 RYO KU WA 04/12/2024 RISHYIRAHO AMAHORO YAKWA KURI SERIVISI NO KU BYEMEZO BITANGWA N’INZEGO Z’IMITEGEKERE Y’IGIHUGU ZEGEREJWE ABATURAGE,Iteka rya perezida,UMUTWE WA MBERE:INGINGO RUSANGE,,Ingingo ya mbere: Icyo iri teka rigamije ,"
Iri teka rishyiraho amahoro yakwa kuri
serivisi no ku byemezo bitangwa n’inzego
z’imitegekere y’Igihugu zegerejwe
abaturage. Rigaragaza kandi urutonde
n’ibipimo ntarengwa by’ayo mahoro",
ITEKA RYA PEREZIDA N° 075/01 RYO KU WA 04/12/2025 RISHYIRAHO AMAHORO YAKWA KURI SERIVISI NO KU BYEMEZO BITANGWA N’INZEGO Z’IMITEGEKERE Y’IGIHUGU ZEGEREJWE ABATURAGE,Iteka rya perezida,UMUTWE WA MBERE:INGINGO RUSANGE,,Ingingo ya 2: Isobanura,"
Muri iri teka:(a) « banderore » bivuga urupapuro
cyangwa umwenda byanditseho
ubutumwa bwamamaza cyangwa
bumenyesha abantu igikorwa runaka
kandi bishyirwa ahantu umuntu
wese ashobora kubibona;(b) « gusana inyubako » bivuga
ugusubiranya ahangiritse ku
nyubako, gutera irangi ariko
udahinduye imiterere, igisenge,
ubuso byayo cyangwa ngo ugire
ikindi gice wongera ku nyubako;

(c) « icyapa cyamamaza » bivuga
icyapa gikozwe mu buryo ubwo ari
bwo bwose gishyirwa ahantu
kigamije kwamamaza imirimo
igamije inyungu, kigaha abaguzi
amakuru  ku bicuruzwa cyangwa
serivisi bikorwa cyangwa
bigurishwa n’ikigo runaka;

(d) « icyapa kiranga ahantu » bivuga
icyapa gikozwe mu buryo ubwo ari
bwo bwose, cyerekana icyerekezo
cy’ahantu hakorerwa imirimo
runaka, ariko ntigihe umuguzi
amakuru yose akenewe kugira ngo
ashobore kugura ibyo akeneye;

(e) « kariyeri » bivuga ahantu hatazuye
cyangwa igisimu hagenwe
n’ubuyobozi bubifitiye ububasha
hacukurwamo ibinyabutaka
bikoreshwa mu mirimo inyuranye
hashingiwe ku miterere n’imimerere
yabyo;(f) « kuvugurura inyubako »
bikubiyemo guhindura imiterere
y’inyubako, igisenge cyayo
cyangwa kuyongerera ubuso;

(g) « parikingi rusange » bivuga
icyanya rusange cyagenewe
guhagararamo ibinyabiziga bitwara
abantu n’ibintu mu buryo bwa
rusange cyangwa ahandi hantu
ibinyabiziga, ibinyamitende
n’amato bihagarara hatunganyijwe
n’inzego za Leta;

(h) « santeri y’ubucuruzi » bivuga
ahantu hagenwa n’urwego
rw’imitegekere y’Igihugu
rwegerejwe abaturage hakorerwa
ibikorwa by’ubucuruzi bito
n’ibiriritse;

(i) « umunara w’itumanaho » bivuga
igikoresho gikozwe mu cyuma
cyangwa mu bindi bikoresho,
gishyizwe ku butaka cyangwa
hejuru y’inyubako kugira ngo
cyifashishwe mu itumanaho. ",
ITEKA RYA PEREZIDA N° 075/01 RYO KU WA 04/12/2026 RISHYIRAHO AMAHORO YAKWA KURI SERIVISI NO KU BYEMEZO BITANGWA N’INZEGO Z’IMITEGEKERE Y’IGIHUGU ZEGEREJWE ABATURAGE,Iteka rya perezida,UMUTWE WA II: AMAHORO YAKWA KURI SERIVISI NO KU BYEMEZO,,Ingingo ya 3: Urutonde rw’amahoro yakwa kuri serivisi no ku byemezo,(1) Amahoro yakwa kuri serivisi no ku byemezo bitangwa n’inzego z’imitegekere y’Igihugu zegerejwe abaturage ni aya akurikira: (a) amahoro ku ikoreshwa ry’umutungo rusange wa Leta; (b) amahoro kuri serivisi zitangwa n’inzego z’imitegekere y’Igihugu zegerejwe abaturage; (c) amafaranga yakwa nk’amahoro. (2) Urwego rw’imitegekere y’Igihugu rwegerejwe abaturage rubujijwe gushyiraho amahoro cyangwa amafaranga yakwa nk’amahoro adateganyijwe n’iri teka.,
ITEKA RYA PEREZIDA N° 075/01 RYO KU WA 04/12/2027 RISHYIRAHO AMAHORO YAKWA KURI SERIVISI NO KU BYEMEZO BITANGWA N’INZEGO Z’IMITEGEKERE Y’IGIHUGU ZEGEREJWE ABATURAGE,Iteka rya perezida,UMUTWE WA II: AMAHORO YAKWA KURI SERIVISI NO KU BYEMEZO,,"Ingingo ya 4: Amahoro yakwa ku
ikoreshwa ry’umutungo rusange wa Leta ",Amahoro yakwa ku ikoreshwa ry’umutungo rusange wa Leta ni amahoro kuri parikingi rusange n’amahoro y’isoko.,
ITEKA RYA PEREZIDA N° 075/01 RYO KU WA 04/12/2028 RISHYIRAHO AMAHORO YAKWA KURI SERIVISI NO KU BYEMEZO BITANGWA N’INZEGO Z’IMITEGEKERE Y’IGIHUGU ZEGEREJWE ABATURAGE,Iteka rya perezida,UMUTWE WA II: AMAHORO YAKWA KURI SERIVISI NO KU BYEMEZO,,Ingingo ya 5: Amahoro yakwa kuri serivisi zitangwa n’inzego z’imitegekere y’Igihugu zegerejwe abaturage,Amahoro yakwa kuri serivisi zitangwa n’inzego z’imitegekere y’Igihugu zegerejwe abaturage ni aya akurikira: (a) amahoro ku gushyingirwa ku munsi unyuranye n’uwagenwe n’Inama Njyanama y’urwego rw’imitegekere y’Igihugu rwegerejwe abaturage; (b) amahoro kuri serivisi n’ibyemezo bijyanye n’umutungo utimukanwa; (c) amahoro ku byemezo bitangwa n’urwego rw’imitegekere y’Igihugu rwegerejwe abaturage; (d) amahoro ku ruhushya rwo kubumba no gutwika amatafari n’amategura; (e) amahoro ku ruhushya rwo gutwika amakara.,
ITEKA RYA PEREZIDA N° 075/01 RYO KU WA 04/12/2029 RISHYIRAHO AMAHORO YAKWA KURI SERIVISI NO KU BYEMEZO BITANGWA N’INZEGO Z’IMITEGEKERE Y’IGIHUGU ZEGEREJWE ABATURAGE,Iteka rya perezida,UMUTWE WA II: AMAHORO YAKWA KURI SERIVISI NO KU BYEMEZO,,Ingingo ya 6: Amafaranga yakwa nk’amahoro,"Amafaranga yakwa nk’amahoro ni aya akurikira:(a)  amafaranga ku cyapa cyamamaza;


(b)  amafaranga kuri banderore;

(c) amafaranga ku kwamamaza
hakoreshejwe uburyo
budateganyijwe muri iri teka;

(d) amafaranga ku cyapa kiranga
ubwato;

(e) amafaranga ku minara y’itumanaho;


(f) amafaranga ku bucuruzi bwo
gutwara ibikomoka kuri kariyeri;

(g) amafaranga ku byasaruwe bikomoka
ku mashyamba",
ITEKA RYA PEREZIDA N° 075/01 RYO KU WA 04/12/2030 RISHYIRAHO AMAHORO YAKWA KURI SERIVISI NO KU BYEMEZO BITANGWA N’INZEGO Z’IMITEGEKERE Y’IGIHUGU ZEGEREJWE ABATURAGE,Iteka rya perezida,UMUTWE WA III: IBIPIMO NTARENGWA BY’AMAHORO YAKWA KURI SERIVISI NO KU BYEMEZO,Icyiciro cya mbere: Ibipimo ntarengwa by’amahoro yakwa ku ikoreshwa ry’umutungo rusange wa Leta,Ingingo ya 7: Parikingi rusange yo ku muhanda,"Ibipimo ntarengwa by’amahoro yakwa kuri parikingi rusange yo ku muhanda bishyizweho ku buryo bukurikira: (a) imodoka nto: (i) FRW 200 ku isaha; (ii) FRW 1.000 ku munsi; (iii) FRW 15.000 ku kwezi; (b) ikamyo nto na minibisi: (i) FRW 300 ku isaha; (ii) FRW 1.500 ku munsi; (iii) FRW 20.000 ku kwezi; (c) ikamyo nini idafite remoruki, bisi nini na za taragiteri: (i) FRW 500 ku isaha; (ii) FRW 2.500 ku munsi; (iii) FRW 25.000 ku kwezi;(d)  ikamyo ifite remoruki n’imashini
nini zikoreshwa mu mirimo yo
kubaka inzu cyangwa imihanda:

(i) FRW 1.000 ku isaha;

(ii) FRW 5.000 ku munsi;

(iii) FRW 30.000 ku kwezi.",
ITEKA RYA PEREZIDA N° 075/01 RYO KU WA 04/12/2031 RISHYIRAHO AMAHORO YAKWA KURI SERIVISI NO KU BYEMEZO BITANGWA N’INZEGO Z’IMITEGEKERE Y’IGIHUGU ZEGEREJWE ABATURAGE,Iteka rya perezida,UMUTWE WA III: IBIPIMO NTARENGWA BY’AMAHORO YAKWA KURI SERIVISI NO KU BYEMEZO,Icyiciro cya mbere: Ibipimo ntarengwa by’amahoro yakwa ku ikoreshwa ry’umutungo rusange wa Leta,Ingingo ya 8: Parikingi rusange yubakiye,"Ibipimo ntarengwa by’amahoro yakwa kuri parikingi rusange yubakiye bishyizweho ku buryo bukurikira: (a) imodoka itwara abagenzi muri rusange ifite ibyicaro bitarenze 18 n’amavatiri akora tagisi: FRW 500 ku munsi; (b) imodoka ifite ibyicaro 19 kugeza kuri 30 itwara abagenzi muri rusange: FRW 1.000 ku munsi; (c) imodoka ifite ibyicaro 31 kugeza kuri 50 itwara abagenzi muri rusange: amahoro ahera ku FRW 1.500 kugeza ku FRW 3.000 ku munsi; (d) imodoka ifite ibyicaro birenze 50 itwara abagenzi muri rusange:
Ibipimo ntarengwa by’amahoro yakwa kuri
parikingi rusange yubakiye bishyizweho ku
buryo bukurikira:

(a)  imodoka itwara abagenzi muri
rusange ifite ibyicaro bitarenze 18
n’amavatiri akora tagisi: FRW 500 ku
munsi;

(b) imodoka ifite ibyicaro 19 kugeza kuri
30 itwara abagenzi muri rusange:
FRW 1.000 ku munsi;

(c) imodoka ifite ibyicaro 31 kugeza kuri
50 itwara abagenzi muri rusange:
amahoro ahera ku FRW 1.500 kugeza
ku FRW 3.000 ku munsi;

(d) imodoka ifite ibyicaro birenze 50
itwara abagenzi muri rusange:amahoro ahera ku FRW 3.500 kugeza
ku FRW 10.000 ku munsi;

(e) imodoka idatwara abagenzi muri
rusange yinjiye muri parikingi rusange
yishyurirwa FRW 200 uko yinjiye
muri parikingi rusange.

 ",
ITEKA RYA PEREZIDA N° 075/01 RYO KU WA 04/12/2032 RISHYIRAHO AMAHORO YAKWA KURI SERIVISI NO KU BYEMEZO BITANGWA N’INZEGO Z’IMITEGEKERE Y’IGIHUGU ZEGEREJWE ABATURAGE,Iteka rya perezida,UMUTWE WA III: IBIPIMO NTARENGWA BY’AMAHORO YAKWA KURI SERIVISI NO KU BYEMEZO,Icyiciro cya mbere: Ibipimo ntarengwa by’amahoro yakwa ku ikoreshwa ry’umutungo rusange wa Leta,Ingingo ya 9: Parikingi rusange y’ubwato,"Ibipimo ntarengwa by’amahoro yakwa kuri parikingi rusange y’ubwato bishyizweho ku buryo bukurikira: (a) ubwato bufite moteri bwikorera toni zitarenze eshanu: (i) FRW 150 ku munsi; (ii) FRW 4.000 ku kwezi; (b) ubwato bufite moteri bwikorera toni zirenze eshanu: (i) FRW 200 ku munsi; (ii) FRW 5.000 ku kwezi; (c) ubwato butoya budafite moteri:(i) FRW 100 ku munsi;

(ii) FRW 3.000 ku kwezi.",
ITEKA RYA PEREZIDA N° 075/01 RYO KU WA 04/12/2033 RISHYIRAHO AMAHORO YAKWA KURI SERIVISI NO KU BYEMEZO BITANGWA N’INZEGO Z’IMITEGEKERE Y’IGIHUGU ZEGEREJWE ABATURAGE,Iteka rya perezida,UMUTWE WA III: IBIPIMO NTARENGWA BY’AMAHORO YAKWA KURI SERIVISI NO KU BYEMEZO,Icyiciro cya mbere: Ibipimo ntarengwa by’amahoro yakwa ku ikoreshwa ry’umutungo rusange wa Leta,Ingingo ya 10: Ubucuruzi bw’amatungo,"
(1) Ibipimo ntarengwa by’amahoro
y’isoko yakwa ku bucuruzi
bw’amatungo bishyizweho ku buryo
bukurikira:

(a) inka: FRW 3.000;

(b) ihene: FRW 500;

(c) ingurube: FRW 700;

(d) intama: FRW 500.

(2) Amahoro avugwa mu gika cya (1)
cy’iyi ngingo yishyurwa
n’umucuruzi w’amatungo kuri buri
tungo rigurishijwe. ",
ITEKA RYA PEREZIDA N° 075/01 RYO KU WA 04/12/2034 RISHYIRAHO AMAHORO YAKWA KURI SERIVISI NO KU BYEMEZO BITANGWA N’INZEGO Z’IMITEGEKERE Y’IGIHUGU ZEGEREJWE ABATURAGE,Iteka rya perezida,UMUTWE WA III: IBIPIMO NTARENGWA BY’AMAHORO YAKWA KURI SERIVISI NO KU BYEMEZO,Icyiciro cya mbere: Ibipimo ntarengwa by’amahoro yakwa ku ikoreshwa ry’umutungo rusange wa Leta,"
Ingingo ya 11: Ikoreshwa ry’ibagiro
ry’urwego rw’imitegekere y’Igihugu
rwegerejwe abaturage","
Kubagira amatungo mu ibagiro ry’urwego
rw’imitegekere y’Igihugu rwegerejwe
abaturage byishyurirwa amahoro ku buryo
bukurikira:(a) inka: FRW 2.000;

(b) ihene: FRW 500;

(c) ingurube: FRW 1.000;

(d) intama: FRW 500. ",
